[ga_L5_s1_k3] init pop 24  fits [3539, 3515, 3487, 3483, 3473, 3469, 3465, 3449]  14s  (LOCAL 400)
[2026-09-24 23:45:21] ga_L5_s1_k3    774s  best 3745/4096  median 3745  worst 3737  children 5127  replaced 375
[2026-09-24 23:45:31] ga_L5_s1_k3    784s  best 3755/4096  median 3745  worst 3745  children 5193  replaced 390
[2026-09-24 23:45:41] ga_L5_s1_k3    794s  best 3755/4096  median 3755  worst 3755  children 5257  replaced 424
[2026-09-24 23:45:51] ga_L5_s1_k3    804s  best 3755/4096  median 3755  worst 3755  children 5328  replaced 424
[2026-09-24 23:46:01] ga_L5_s1_k3    814s  best 3755/4096  median 3755  worst 3755  children 5397  replaced 424
[2026-09-24 23:46:11] ga_L5_s1_k3    825s  best 3759/4096  median 3755  worst 3755  children 5457  replaced 425
[2026-09-24 23:46:21] ga_L5_s1_k3    835s  best 3765/4096  median 3765  worst 3759  children 5533  replaced 450
[2026-09-24 23:46:31] ga_L5_s1_k3    845s  best 3765/4096  median 3765  worst 3765  children 5599  replaced 460
[2026-09-24 23:46:41] ga_L5_s1_k3    855s  best 3765/4096  median 3765  worst 3765  children 5669  replaced 460
[2026-09-24 23:46:51] ga_L5_s1_k3    865s  best 3765/4096  median 3765  worst 3765  children 5725  replaced 460
[2026-09-24 23:47:02] ga_L5_s1_k3    875s  best 3765/4096  median 3765  worst 3765  children 5794  replaced 460
[2026-09-24 23:47:12] ga_L5_s1_k3    885s  best 3765/4096  median 3765  worst 3765  children 5868  replaced 460
[2026-09-24 23:47:22] ga_L5_s1_k3    896s  best 3765/4096  median 3765  worst 3765  children 5946  replaced 460
[2026-09-24 23:47:32] ga_L5_s1_k3    906s  best 3765/4096  median 3765  worst 3765  children 6003  replaced 460
[2026-09-24 23:47:42] ga_L5_s1_k3    916s  best 3765/4096  median 3765  worst 3765  children 6073  replaced 460
[2026-09-24 23:47:52] ga_L5_s1_k3    926s  best 3765/4096  median 3765  worst 3765  children 6135  replaced 460
[2026-09-24 23:48:02] ga_L5_s1_k3    936s  best 3765/4096  median 3765  worst 3765  children 6206  replaced 460
[2026-09-24 23:48:12] ga_L5_s1_k3    946s  best 3765/4096  median 3765  worst 3765  children 6284  replaced 460
[2026-09-24 23:48:22] ga_L5_s1_k3    956s  best 3765/4096  median 3765  worst 3765  children 6343  replaced 460
[2026-09-24 23:48:32] ga_L5_s1_k3    966s  best 3765/4096  median 3765  worst 3765  children 6410  replaced 460
[2026-09-24 23:48:42] ga_L5_s1_k3    976s  best 3765/4096  median 3765  worst 3765  children 6478  replaced 460
[2026-09-24 23:48:53] ga_L5_s1_k3    986s  best 3765/4096  median 3765  worst 3765  children 6549  replaced 460
[2026-09-24 23:49:03] ga_L5_s1_k3    997s  best 3765/4096  median 3765  worst 3765  children 6620  replaced 460
[2026-09-24 23:49:13] ga_L5_s1_k3   1007s  best 3765/4096  median 3765  worst 3765  children 6687  replaced 460
[2026-09-24 23:49:23] ga_L5_s1_k3   1017s  best 3765/4096  median 3765  worst 3765  children 6742  replaced 460
[2026-09-24 23:49:34] ga_L5_s1_k3   1027s  best 3765/4096  median 3765  worst 3765  children 6809  replaced 460
[2026-09-24 23:49:44] ga_L5_s1_k3   1037s  best 3765/4096  median 3765  worst 3765  children 6873  replaced 460
[2026-09-24 23:49:54] ga_L5_s1_k3   1048s  best 3765/4096  median 3765  worst 3765  children 6941  replaced 460
[2026-09-24 23:50:04] ga_L5_s1_k3   1058s  best 3765/4096  median 3765  worst 3765  children 7000  replaced 460
[2026-09-24 23:50:14] ga_L5_s1_k3   1068s  best 3765/4096  median 3765  worst 3765  children 7076  replaced 460
[2026-09-24 23:50:24] ga_L5_s1_k3   1078s  best 3765/4096  median 3765  worst 3765  children 7147  replaced 460
[2026-09-24 23:50:34] ga_L5_s1_k3   1088s  best 3765/4096  median 3765  worst 3765  children 7218  replaced 460
[2026-09-24 23:50:44] ga_L5_s1_k3   1098s  best 3765/4096  median 3765  worst 3765  children 7281  replaced 460
[2026-09-24 23:50:55] ga_L5_s1_k3   1108s  best 3765/4096  median 3765  worst 3765  children 7354  replaced 460
[2026-09-24 23:51:05] ga_L5_s1_k3   1118s  best 3765/4096  median 3765  worst 3765  children 7418  replaced 460
[2026-09-24 23:51:15] ga_L5_s1_k3   1128s  best 3765/4096  median 3765  worst 3765  children 7493  replaced 460
[2026-09-24 23:51:25] ga_L5_s1_k3   1138s  best 3765/4096  median 3765  worst 3765  children 7549  replaced 460
[2026-09-24 23:51:35] ga_L5_s1_k3   1148s  best 3765/4096  median 3765  worst 3765  children 7622  replaced 460
[2026-09-24 23:51:45] ga_L5_s1_k3   1159s  best 3765/4096  median 3765  worst 3765  children 7687  replaced 460
[2026-09-24 23:51:55] ga_L5_s1_k3   1169s  best 3765/4096  median 3765  worst 3765  children 7759  replaced 460
[2026-09-24 23:52:05] ga_L5_s1_k3   1179s  best 3765/4096  median 3765  worst 3765  children 7829  replaced 460
[2026-09-24 23:52:15] ga_L5_s1_k3   1189s  best 3765/4096  median 3765  worst 3765  children 7900  replaced 460
[2026-09-24 23:52:25] ga_L5_s1_k3   1199s  best 3765/4096  median 3765  worst 3765  children 7975  replaced 460
[2026-09-24 23:52:26] ga_L5_s1_k3   1200s  best 3765/4096  median 3765  worst 3765  children 7982  replaced 460
[ga_L5_s1_k3] final best 3765 / 4096  readout (11, 16, 17, 0)
