[evo_logo_L5_s1_c3] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:29:45] evo_logo_L5_s1_c3    816s  best 3775/4096  current 3765  restarts 3  iters 20485512  (25091/s)  best gates cx 83 tof 19
[2026-09-25 00:29:55] evo_logo_L5_s1_c3    826s  best 3775/4096  current 3765  restarts 3  iters 20774147  (25135/s)  best gates cx 83 tof 19
[2026-09-25 00:30:10] evo_logo_L5_s1_c3    841s  best 3775/4096  current 3765  restarts 3  iters 21207024  (25208/s)  best gates cx 83 tof 19
[2026-09-25 00:30:22] evo_logo_L5_s1_c3    853s  best 3775/4096  current 3543  restarts 4  iters 21461857  (25151/s)  best gates cx 83 tof 19
[2026-09-25 00:30:37] evo_logo_L5_s1_c3    868s  best 3775/4096  current 3643  restarts 4  iters 21790690  (25097/s)  best gates cx 83 tof 19
[2026-09-25 00:30:52] evo_logo_L5_s1_c3    883s  best 3775/4096  current 3643  restarts 4  iters 22127513  (25052/s)  best gates cx 83 tof 19
[2026-09-25 00:31:06] evo_logo_L5_s1_c3    898s  best 3775/4096  current 3643  restarts 4  iters 22460553  (25014/s)  best gates cx 83 tof 19
[2026-09-25 00:31:16] evo_logo_L5_s1_c3    908s  best 3775/4096  current 3679  restarts 4  iters 22694919  (24994/s)  best gates cx 83 tof 19
[2026-09-25 00:31:31] evo_logo_L5_s1_c3    923s  best 3775/4096  current 3679  restarts 4  iters 23039845  (24959/s)  best gates cx 83 tof 19
[2026-09-25 00:31:46] evo_logo_L5_s1_c3    938s  best 3775/4096  current 3679  restarts 4  iters 23379305  (24925/s)  best gates cx 83 tof 19
[2026-09-25 00:32:01] evo_logo_L5_s1_c3    953s  best 3775/4096  current 3679  restarts 4  iters 23728177  (24904/s)  best gates cx 83 tof 19
[2026-09-25 00:32:11] evo_logo_L5_s1_c3    963s  best 3775/4096  current 3679  restarts 4  iters 23959149  (24877/s)  best gates cx 83 tof 19
[2026-09-25 00:32:26] evo_logo_L5_s1_c3    978s  best 3775/4096  current 3679  restarts 4  iters 24304109  (24857/s)  best gates cx 83 tof 19
[2026-09-25 00:32:36] evo_logo_L5_s1_c3    988s  best 3775/4096  current 3679  restarts 4  iters 24542875  (24846/s)  best gates cx 83 tof 19
[2026-09-25 00:32:47] evo_logo_L5_s1_c3    998s  best 3775/4096  current 3555  restarts 5  iters 24778789  (24817/s)  best gates cx 83 tof 19
[2026-09-25 00:33:01] evo_logo_L5_s1_c3   1013s  best 3775/4096  current 3677  restarts 5  iters 25106315  (24794/s)  best gates cx 83 tof 19
[2026-09-25 00:33:16] evo_logo_L5_s1_c3   1028s  best 3775/4096  current 3689  restarts 5  iters 25490105  (24808/s)  best gates cx 83 tof 19
[2026-09-25 00:33:26] evo_logo_L5_s1_c3   1038s  best 3775/4096  current 3689  restarts 5  iters 25744676  (24810/s)  best gates cx 83 tof 19
[2026-09-25 00:33:36] evo_logo_L5_s1_c3   1048s  best 3775/4096  current 3689  restarts 5  iters 25992896  (24806/s)  best gates cx 83 tof 19
[2026-09-25 00:33:51] evo_logo_L5_s1_c3   1062s  best 3775/4096  current 3697  restarts 5  iters 26362849  (24813/s)  best gates cx 83 tof 19
[2026-09-25 00:34:01] evo_logo_L5_s1_c3   1072s  best 3775/4096  current 3713  restarts 5  iters 26626964  (24828/s)  best gates cx 83 tof 19
[2026-09-25 00:34:16] evo_logo_L5_s1_c3   1087s  best 3775/4096  current 3713  restarts 5  iters 27023432  (24856/s)  best gates cx 83 tof 19
[2026-09-25 00:34:26] evo_logo_L5_s1_c3   1097s  best 3775/4096  current 3753  restarts 5  iters 27295959  (24871/s)  best gates cx 83 tof 19
[2026-09-25 00:34:41] evo_logo_L5_s1_c3   1112s  best 3775/4096  current 3753  restarts 5  iters 27689481  (24893/s)  best gates cx 83 tof 19
[2026-09-25 00:34:51] evo_logo_L5_s1_c3   1122s  best 3775/4096  current 3753  restarts 5  iters 27958295  (24907/s)  best gates cx 83 tof 19
[2026-09-25 00:35:06] evo_logo_L5_s1_c3   1137s  best 3775/4096  current 3753  restarts 5  iters 28357659  (24935/s)  best gates cx 83 tof 19
[2026-09-25 00:35:16] evo_logo_L5_s1_c3   1148s  best 3775/4096  current 3753  restarts 5  iters 28630237  (24948/s)  best gates cx 83 tof 19
[2026-09-25 00:35:31] evo_logo_L5_s1_c3   1163s  best 3775/4096  current 3753  restarts 5  iters 29017728  (24959/s)  best gates cx 83 tof 19
[2026-09-25 00:35:46] evo_logo_L5_s1_c3   1177s  best 3775/4096  current 3753  restarts 5  iters 29420049  (24990/s)  best gates cx 83 tof 19
[2026-09-25 00:36:01] evo_logo_L5_s1_c3   1193s  best 3775/4096  current 3753  restarts 5  iters 29833773  (25015/s)  best gates cx 83 tof 19
[2026-09-25 00:36:12] evo_logo_L5_s1_c3   1204s  best 3775/4096  current 3537  restarts 6  iters 30064806  (24975/s)  best gates cx 83 tof 19
[evo_logo_L5_s1_c3] final best 3775 / 4096  readout (12, 17, 0, 0)  restarts 6
