[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:31:01] span_L7_s63_c1_z3_long    839s  best 3633/4096  current 3536  kicks 7  iters 1894087 (2257/s)  best: cx 39 tof 30
[2026-09-25 07:31:16] span_L7_s63_c1_z3_long    854s  best 3633/4096  current 3541  kicks 7  iters 1925226 (2255/s)  best: cx 39 tof 30
[2026-09-25 07:31:31] span_L7_s63_c1_z3_long    868s  best 3633/4096  current 3572  kicks 8  iters 1958315 (2254/s)  best: cx 39 tof 30
[2026-09-25 07:31:46] span_L7_s63_c1_z3_long    883s  best 3633/4096  current 3586  kicks 8  iters 1992620 (2255/s)  best: cx 39 tof 30
[2026-09-25 07:32:00] span_L7_s63_c1_z3_long    898s  best 3633/4096  current 3591  kicks 8  iters 2027572 (2257/s)  best: cx 39 tof 30
[2026-09-25 07:32:11] span_L7_s63_c1_z3_long    908s  best 3633/4096  current 3592  kicks 8  iters 2051456 (2258/s)  best: cx 39 tof 30
[2026-09-25 07:32:21] span_L7_s63_c1_z3_long    919s  best 3633/4096  current 3592  kicks 8  iters 2074249 (2257/s)  best: cx 39 tof 30
[2026-09-25 07:32:36] span_L7_s63_c1_z3_long    934s  best 3633/4096  current 3613  kicks 9  iters 2108294 (2257/s)  best: cx 39 tof 30
[2026-09-25 07:32:46] span_L7_s63_c1_z3_long    944s  best 3633/4096  current 3626  kicks 9  iters 2129479 (2256/s)  best: cx 39 tof 30
[2026-09-25 07:32:56] span_L7_s63_c1_z3_long    954s  best 3633/4096  current 3626  kicks 9  iters 2150738 (2254/s)  best: cx 39 tof 30
[2026-09-25 07:33:10] span_L7_s63_c1_z3_long    968s  best 3665/4096  current 3665  kicks 9  iters 2182384 (2253/s)  best: cx 40 tof 26
[2026-09-25 07:33:21] span_L7_s63_c1_z3_long    978s  best 3668/4096  current 3662  kicks 9  iters 2206247 (2254/s)  best: cx 36 tof 28
[2026-09-25 07:33:35] span_L7_s63_c1_z3_long    993s  best 3671/4096  current 3666  kicks 9  iters 2242873 (2258/s)  best: cx 41 tof 27
[2026-09-25 07:33:50] span_L7_s63_c1_z3_long   1008s  best 3671/4096  current 3664  kicks 9  iters 2279677 (2261/s)  best: cx 41 tof 27
[2026-09-25 07:34:01] span_L7_s63_c1_z3_long   1018s  best 3671/4096  current 3671  kicks 9  iters 2304497 (2263/s)  best: cx 41 tof 27
[2026-09-25 07:34:15] span_L7_s63_c1_z3_long   1033s  best 3671/4096  current 3667  kicks 9  iters 2341018 (2265/s)  best: cx 41 tof 27
[2026-09-25 07:34:25] span_L7_s63_c1_z3_long   1043s  best 3671/4096  current 3660  kicks 9  iters 2366022 (2268/s)  best: cx 41 tof 27
[2026-09-25 07:34:35] span_L7_s63_c1_z3_long   1053s  best 3673/4096  current 3670  kicks 9  iters 2390930 (2269/s)  best: cx 36 tof 28
[2026-09-25 07:34:50] span_L7_s63_c1_z3_long   1068s  best 3680/4096  current 3664  kicks 9  iters 2427279 (2272/s)  best: cx 35 tof 29
[2026-09-25 07:35:05] span_L7_s63_c1_z3_long   1083s  best 3680/4096  current 3664  kicks 9  iters 2464906 (2275/s)  best: cx 35 tof 29
[2026-09-25 07:35:20] span_L7_s63_c1_z3_long   1098s  best 3680/4096  current 3673  kicks 9  iters 2503343 (2279/s)  best: cx 35 tof 29
[2026-09-25 07:35:31] span_L7_s63_c1_z3_long   1108s  best 3680/4096  current 3665  kicks 9  iters 2528609 (2281/s)  best: cx 35 tof 29
[2026-09-25 07:35:46] span_L7_s63_c1_z3_long   1123s  best 3680/4096  current 3665  kicks 9  iters 2564958 (2283/s)  best: cx 35 tof 29
[2026-09-25 07:36:01] span_L7_s63_c1_z3_long   1138s  best 3680/4096  current 3572  kicks 10  iters 2601497 (2285/s)  best: cx 35 tof 29
[2026-09-25 07:36:11] span_L7_s63_c1_z3_long   1149s  best 3680/4096  current 3576  kicks 10  iters 2625970 (2286/s)  best: cx 35 tof 29
[2026-09-25 07:36:21] span_L7_s63_c1_z3_long   1159s  best 3680/4096  current 3580  kicks 10  iters 2649382 (2286/s)  best: cx 35 tof 29
[2026-09-25 07:36:36] span_L7_s63_c1_z3_long   1174s  best 3680/4096  current 3589  kicks 10  iters 2684402 (2287/s)  best: cx 35 tof 29
