[evo3_logo_L6_s1] start fitness 3269 / 4096  P3 0.30  restart after 90s without gain
[2026-09-25 02:17:07] evo3_logo_L6_s1    716s  best 3903/4096  current 3817  restarts 3  iters 26036755 (36366/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:17:22] evo3_logo_L6_s1    731s  best 3903/4096  current 3817  restarts 3  iters 26559476 (36338/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:17:32] evo3_logo_L6_s1    741s  best 3903/4096  current 3817  restarts 3  iters 26913369 (36323/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:17:47] evo3_logo_L6_s1    756s  best 3903/4096  current 3817  restarts 3  iters 27435163 (36297/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:17:57] evo3_logo_L6_s1    766s  best 3903/4096  current 3817  restarts 3  iters 27783911 (36277/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:18:07] evo3_logo_L6_s1    776s  best 3903/4096  current 3817  restarts 3  iters 28135148 (36255/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:18:22] evo3_logo_L6_s1    791s  best 3903/4096  current 3825  restarts 3  iters 28661436 (36249/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:18:36] evo3_logo_L6_s1    805s  best 3903/4096  current 3849  restarts 3  iters 29220789 (36282/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:18:46] evo3_logo_L6_s1    815s  best 3903/4096  current 3851  restarts 3  iters 29605972 (36308/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:18:57] evo3_logo_L6_s1    826s  best 3903/4096  current 3851  restarts 3  iters 29988180 (36323/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:19:07] evo3_logo_L6_s1    836s  best 3903/4096  current 3877  restarts 3  iters 30363392 (36331/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:19:22] evo3_logo_L6_s1    851s  best 3903/4096  current 3879  restarts 3  iters 30926279 (36357/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:19:36] evo3_logo_L6_s1    866s  best 3903/4096  current 3879  restarts 3  iters 31490885 (36382/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:19:51] evo3_logo_L6_s1    880s  best 3903/4096  current 3879  restarts 3  iters 32062868 (36416/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:20:01] evo3_logo_L6_s1    891s  best 3903/4096  current 3879  restarts 3  iters 32445876 (36433/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:20:16] evo3_logo_L6_s1    905s  best 3903/4096  current 3879  restarts 3  iters 33012389 (36459/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:20:26] evo3_logo_L6_s1    916s  best 3903/4096  current 3879  restarts 3  iters 33398024 (36481/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:20:41] evo3_logo_L6_s1    931s  best 3903/4096  current 3879  restarts 3  iters 33980107 (36515/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:20:52] evo3_logo_L6_s1    941s  best 3903/4096  current 3879  restarts 3  iters 34365366 (36536/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:21:02] evo3_logo_L6_s1    951s  best 3903/4096  current 3737  restarts 4  iters 34715023 (36492/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:21:17] evo3_logo_L6_s1    966s  best 3903/4096  current 3797  restarts 4  iters 35227536 (36467/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:21:27] evo3_logo_L6_s1    976s  best 3903/4096  current 3797  restarts 4  iters 35578076 (36447/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:21:37] evo3_logo_L6_s1    986s  best 3903/4096  current 3797  restarts 4  iters 35922494 (36418/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:21:52] evo3_logo_L6_s1   1001s  best 3903/4096  current 3801  restarts 4  iters 36436749 (36396/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:22:02] evo3_logo_L6_s1   1011s  best 3903/4096  current 3803  restarts 4  iters 36791079 (36380/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:22:17] evo3_logo_L6_s1   1026s  best 3903/4096  current 3803  restarts 4  iters 37312743 (36366/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:22:32] evo3_logo_L6_s1   1041s  best 3903/4096  current 3827  restarts 4  iters 37848702 (36352/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:22:47] evo3_logo_L6_s1   1056s  best 3903/4096  current 3831  restarts 4  iters 38393008 (36364/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
[2026-09-25 02:22:57] evo3_logo_L6_s1   1066s  best 3903/4096  current 3835  restarts 4  iters 38767735 (36367/s)  best: cx 35 tof 22 (3-ctl 9) est_fwd 78
