basis ckpt/basis_s1.pkl: 286 ANF monomials
[span_L6_s76_c1_z3_basis] start fitness 3824 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 10:49:09] span_L6_s76_c1_z3_basis    680s  best 3890/4096  current 3839  kicks 7  iters 1552504 (2282/s)  best: cx 35 tof 22
[2026-09-25 10:49:24] span_L6_s76_c1_z3_basis    695s  best 3890/4096  current 3841  kicks 8  iters 1587815 (2285/s)  best: cx 35 tof 22
[2026-09-25 10:49:34] span_L6_s76_c1_z3_basis    705s  best 3890/4096  current 3858  kicks 8  iters 1609788 (2283/s)  best: cx 35 tof 22
[2026-09-25 10:49:49] span_L6_s76_c1_z3_basis    720s  best 3890/4096  current 3857  kicks 8  iters 1643340 (2282/s)  best: cx 35 tof 22
[2026-09-25 10:49:59] span_L6_s76_c1_z3_basis    730s  best 3890/4096  current 3853  kicks 8  iters 1666300 (2282/s)  best: cx 35 tof 22
[2026-09-25 10:50:10] span_L6_s76_c1_z3_basis    740s  best 3890/4096  current 3830  kicks 8  iters 1689156 (2281/s)  best: cx 35 tof 22
[2026-09-25 10:50:24] span_L6_s76_c1_z3_basis    755s  best 3890/4096  current 3832  kicks 9  iters 1725489 (2284/s)  best: cx 35 tof 22
[2026-09-25 10:50:35] span_L6_s76_c1_z3_basis    766s  best 3890/4096  current 3850  kicks 9  iters 1748352 (2283/s)  best: cx 35 tof 22
[2026-09-25 10:50:49] span_L6_s76_c1_z3_basis    780s  best 3890/4096  current 3834  kicks 9  iters 1780985 (2283/s)  best: cx 35 tof 22
[2026-09-25 10:50:59] span_L6_s76_c1_z3_basis    790s  best 3890/4096  current 3835  kicks 9  iters 1805468 (2284/s)  best: cx 35 tof 22
[2026-09-25 10:51:10] span_L6_s76_c1_z3_basis    801s  best 3890/4096  current 3836  kicks 9  iters 1829045 (2284/s)  best: cx 35 tof 22
[2026-09-25 10:51:24] span_L6_s76_c1_z3_basis    815s  best 3890/4096  current 3837  kicks 10  iters 1864427 (2287/s)  best: cx 35 tof 22
[2026-09-25 10:51:39] span_L6_s76_c1_z3_basis    830s  best 3890/4096  current 3840  kicks 10  iters 1900536 (2289/s)  best: cx 35 tof 22
[2026-09-25 10:51:54] span_L6_s76_c1_z3_basis    845s  best 3890/4096  current 3834  kicks 10  iters 1936502 (2291/s)  best: cx 35 tof 22
[2026-09-25 10:52:04] span_L6_s76_c1_z3_basis    855s  best 3890/4096  current 3833  kicks 10  iters 1961036 (2293/s)  best: cx 35 tof 22
[2026-09-25 10:52:19] span_L6_s76_c1_z3_basis    870s  best 3890/4096  current 3824  kicks 11  iters 1997935 (2296/s)  best: cx 35 tof 22
[2026-09-25 10:52:34] span_L6_s76_c1_z3_basis    885s  best 3890/4096  current 3826  kicks 11  iters 2034439 (2298/s)  best: cx 35 tof 22
[2026-09-25 10:52:45] span_L6_s76_c1_z3_basis    895s  best 3890/4096  current 3839  kicks 11  iters 2058386 (2298/s)  best: cx 35 tof 22
[2026-09-25 10:53:00] span_L6_s76_c1_z3_basis    911s  best 3890/4096  current 3838  kicks 11  iters 2094102 (2299/s)  best: cx 35 tof 22
[2026-09-25 10:53:14] span_L6_s76_c1_z3_basis    925s  best 3890/4096  current 3860  kicks 11  iters 2128713 (2300/s)  best: cx 35 tof 22
[2026-09-25 10:53:29] span_L6_s76_c1_z3_basis    940s  best 3890/4096  current 3852  kicks 12  iters 2164827 (2302/s)  best: cx 35 tof 22
[2026-09-25 10:53:40] span_L6_s76_c1_z3_basis    950s  best 3890/4096  current 3854  kicks 12  iters 2189313 (2303/s)  best: cx 35 tof 22
[2026-09-25 10:53:50] span_L6_s76_c1_z3_basis    961s  best 3890/4096  current 3866  kicks 12  iters 2212704 (2303/s)  best: cx 35 tof 22
[2026-09-25 10:54:04] span_L6_s76_c1_z3_basis    975s  best 3890/4096  current 3840  kicks 12  iters 2248338 (2305/s)  best: cx 35 tof 22
[2026-09-25 10:54:15] span_L6_s76_c1_z3_basis    986s  best 3890/4096  current 3872  kicks 12  iters 2273663 (2306/s)  best: cx 35 tof 22
[2026-09-25 10:54:25] span_L6_s76_c1_z3_basis    996s  best 3890/4096  current 3837  kicks 13  iters 2296320 (2305/s)  best: cx 35 tof 22
[2026-09-25 10:54:40] span_L6_s76_c1_z3_basis   1011s  best 3890/4096  current 3837  kicks 13  iters 2331465 (2306/s)  best: cx 35 tof 22
[2026-09-25 10:54:55] span_L6_s76_c1_z3_basis   1026s  best 3890/4096  current 3846  kicks 13  iters 2367998 (2309/s)  best: cx 35 tof 22
[2026-09-25 10:55:05] span_L6_s76_c1_z3_basis   1036s  best 3890/4096  current 3856  kicks 13  iters 2390694 (2308/s)  best: cx 35 tof 22
